F1,F2,F3,Target
13.4,3.28097101,19.27469106,A
-31.2,-4.310917575,-25.32530894,A
7.46,2.26985401,13.33469106,A
32.7,6.566250151,38.57469106,A
16.3,3.77461399,22.17469106,A
3.64,1.61960705,9.51469106,A
33.1,6.634338838,38.97469106,A
-57.4,-8.770726565,-51.52530894,A
30.8,6.242828888,36.67469106,A
-24.7,-3.204476414,-18.82530894,A
-35.1,-4.974782272,-29.22530894,A
-18.6,-2.166123939,-12.72530894,A
-11.1,-0.88946106,-5.22530894,A
-25.4,-3.323631616,-19.52530894,A
-16.9,-1.87674702,-11.02530894,A
-2.33,0.603383399,3.54469106,A
23.1,4.932121666,28.97469106,A
-17.7,-2.012924394,-11.82530894,A
-47.4,-7.068509393,-41.52530894,A
-18.5,-2.149101767,-12.62530894,A
2.95,1.502154066,8.82469106,A
-12,-1.042660606,-6.12530894,A
-27.1,-3.613008535,-21.22530894,A
-5.12,0.128464808,0.75469106,A
-58.3,-8.92392611,-52.42530894,A
14.1,3.400126212,19.97469106,A
-1.74,0.703814212,4.13469106,A
11.4,2.940527576,17.27469106,A
18.6,4.166123939,24.47469106,A
-28,-3.76620808,-22.12530894,A
-2.54,0.567636838,3.33469106,A
-24.8,-3.221498585,-18.92530894,A
-11.3,-0.923505404,-5.42530894,A
11.4,2.940527576,17.27469106,A
19.9,4.387412171,25.77469106,A
-8.77,-0.492844459,-2.89530894,A
-20.5,-2.489545202,-14.62530894,A
-15.6,-1.655458788,-9.72530894,A
-12.2,-1.076704949,-6.32530894,A
36.3,7.179048333,42.17469106,A
24.6,5.187454242,30.47469106,A
19.2,4.268256969,25.07469106,A
0.0164,1.002791636,5.89109106,A
-26.7,-3.544919848,-20.82530894,A
24.7,5.204476414,30.57469106,A
-5.84,0.005905172,0.03469106,A
-13.8,-1.349059697,-7.92530894,A
5.78,1.983881525,11.65469106,A
28.7,5.885363282,34.57469106,A
38.8,7.604602626,44.67469106,A
26.7,5.544919848,32.57469106,A
-17.9,-2.046968737,-12.02530894,A
-15.2,-1.587370101,-9.32530894,A
9.5,2.617106313,15.37469106,A
-17.7,-2.012924394,-11.82530894,A
-27.6,-3.698119394,-21.72530894,A
1.47,1.250225924,7.34469106,A
10.7,2.821372374,16.57469106,A
-9.84,-0.674981697,-3.96530894,A
8.94,2.521782151,14.81469106,A
-21.6,-2.676789091,-15.72530894,A
-30.9,-4.25985106,-25.02530894,A
-1.9,0.676578737,3.97469106,A
13,3.212882323,18.87469106,A
18.5,4.149101767,24.37469106,A
49.5,9.425974999,55.37469106,A
27,5.595986363,32.87469106,A
-12.7,-1.161815808,-6.82530894,A
6.65,2.131974419,12.52469106,A
15.4,3.621414444,21.27469106,A
-3.78,0.356561909,2.09469106,A
33.5,6.702427525,39.37469106,A
4.56,1.77621103,10.43469106,A
29.1,5.953451969,34.97469106,A
3.89,1.66216248,9.76469106,A
18.8,4.200168283,24.67469106,A
-35.5,-5.042870959,-29.62530894,A
-0.569,0.903143843,5.30569106,A
-17.3,-1.944835707,-11.42530894,A
-40.3,-5.859935201,-34.42530894,A
-18.3,-2.115057424,-12.42530894,A
14.8,3.519281414,20.67469106,A
17.5,3.97888005,23.37469106,A
0.021,1.003574656,5.89569106,A
0.915,1.155752871,6.78969106,A
-39.7,-5.757802171,-33.82530894,A
-10.3,-0.753283687,-4.42530894,A
-11.3,-0.923505404,-5.42530894,A
41.1,7.996112575,46.97469106,A
-4.07,0.307197611,1.80469106,A
-81.1,-12.80498126,-75.22530894,A
-43,-6.319533838,-37.12530894,A
3.24,1.551518364,9.11469106,A
-18.7,-2.183146111,-12.82530894,A
-15.3,-1.604392273,-9.42530894,A
-7.04,-0.198360889,-1.16530894,A
-13.9,-1.366081868,-8.02530894,A
1.87,1.318314611,7.74469106,A
-33,-4.617316666,-27.12530894,A
-11.9,-1.025638434,-6.02530894,A
-74.1,-11.61342924,-68.22530894,A
17.8,4.029946565,23.67469106,A
-1.43,0.756582944,4.44469106,A
-23.8,-3.051276868,-17.92530894,A
1.45,1.24682149,7.32469106,A
3.47,1.590669359,9.34469106,A
-43.4,-6.387622525,-37.52530894,A
-25.2,-3.289587272,-19.32530894,A
21.8,4.710833434,27.67469106,A
10.6,2.804350202,16.47469106,A
-19.4,-2.302301313,-13.52530894,A
22.2,4.778922121,28.07469106,A
0.122,1.020767049,5.99669106,A
-11.2,-0.906483232,-5.32530894,A
19.3,4.285279141,25.17469106,A
11.4,2.940527576,17.27469106,A
-6.23,-0.060481298,-0.35530894,A
17.8,4.029946565,23.67469106,A
-32.2,-4.481139292,-26.32530894,A
19.2,4.268256969,25.07469106,A
-37.1,-5.315225707,-31.22530894,A
-28.7,-3.885363282,-22.82530894,A
3.24,1.551518364,9.11469106,A
1.42,1.241714838,7.29469106,A
-27.2,-3.630030707,-21.32530894,A
5.18,1.881748495,11.05469106,A
26.6,5.527897676,32.47469106,A
-7.21,-0.227298581,-1.33530894,A
0.944,1.160689301,6.81869106,A
23.3,4.96616601,29.17469106,A
9.63,2.639235136,15.50469106,A
-59.3,-9.094147827,-53.42530894,A
-28.5,-3.851318939,-22.62530894,A
62.5,11.63885732,68.37469106,A
-49,-7.340864141,-43.12530894,A
-21.4,-2.642744747,-15.52530894,A
-22.5,-2.829988636,-16.62530894,A
-35.5,-5.042870959,-29.62530894,A
-18.6,-2.166123939,-12.72530894,A
27.8,5.732163737,33.67469106,A
-52.1,-7.868551464,-46.22530894,A
-19.6,-2.336345656,-13.72530894,A
-13.5,-1.297993182,-7.62530894,A
-33.7,-4.736471868,-27.82530894,A
-14.5,-1.468214899,-8.62530894,A
-4.27,0.273153268,1.60469106,A
-4.94,0.159104717,0.93469106,A
3.1,1.527687323,8.97469106,A
11.2,2.906483232,17.07469106,A
18.1,4.081013081,23.97469106,A
-24.6,-3.187454242,-18.72530894,A
16.4,3.791636161,22.27469106,A
-19.8,-2.37039,-13.92530894,A
5.1,1.868130758,10.97469106,A
4.27,1.726846732,10.14469106,A
-3.85,0.344646389,2.02469106,A
5.12,1.871535192,10.99469106,A
-16.9,-1.87674702,-11.02530894,A
-5.19,0.116549288,0.68469106,A
1.18,1.200861626,7.05469106,A
-11.2,-0.906483232,-5.32530894,A
7.38,2.256236273,13.25469106,A
33.8,6.75349404,39.67469106,A
33.8,6.75349404,39.67469106,A
-43.6,-6.421666868,-37.72530894,A
