F1,Target
1.97E-08,G
3.59E-08,G
3.56E-08,G
3.61E-08,G
1.99E-08,G
1.89E-08,G
2.51E-09,G
2.10E-09,G
2.60E-08,G
1.86E-08,G
4.28E-08,G
2.61E-08,G
2.57E-08,G
2.62E-08,G
9.91E-09,G
9.53E-09,G
1.71E-08,G
9.07E-09,G
3.30E-08,G
3.33E-08,G
3.38E-08,G
4.17E-08,G
4.16E-08,G
3.42E-08,G
1.71E-08,G
1.75E-08,G
1.80E-08,G
3.37E-08,G
2.50E-08,G
8.58E-09,G
1.77E-08,G
1.67E-08,G
2.48E-08,G
3.29E-08,G
2.50E-08,G
2.49E-08,G
1.71E-08,G
2.50E-08,G
1.74E-08,G
1.81E-08,G
2.65E-08,G
2.65E-08,G
2.60E-08,G
1.80E-08,G
1.85E-08,G
2.60E-08,G
2.65E-08,G
1.94E-08,G
-4.69E-09,G
3.12E-09,G
1.92E-08,G
2.01E-08,G
4.18E-09,G
4.12E-09,G
1.95E-08,G
3.51E-08,G
3.51E-08,G
3.41E-08,G
4.13E-08,G
3.38E-08,G
1.02E-08,G
1.02E-08,G
2.66E-08,G
2.65E-08,G
1.90E-08,G
1.12E-08,G
1.18E-08,G
1.11E-08,G
1.15E-08,G
1.17E-08,G
3.69E-09,G
3.81E-09,G
1.16E-08,G
-5.09E-09,G
3.32E-09,G
1.11E-08,G
2.79E-09,G
2.87E-09,G
-1.34E-08,G
-4.86E-09,G
-4.74E-09,G
2.67E-09,G
-2.19E-08,G
-1.40E-08,G
-2.18E-08,G
1.03E-08,G
-6.12E-09,G
-2.15E-08,G
-5.55E-09,G
2.45E-09,G
1.04E-08,G
-1.33E-08,G
-1.28E-08,G
-5.15E-09,G
3.07E-09,G
2.86E-09,G
1.04E-08,G
1.38E-09,G
1.30E-09,G
-7.00E-09,G
-6.62E-09,G
1.66E-09,G
-1.35E-08,G
-1.36E-08,G
-1.43E-08,G
-1.47E-08,G
-1.45E-08,G
-6.21E-09,G
9.87E-09,G
2.29E-09,G
1.01E-08,G
1.06E-08,G
1.05E-08,G
1.93E-08,G
1.08E-08,G
2.71E-09,G
2.65E-09,G
1.88E-08,G
3.27E-09,G
1.08E-08,G
1.07E-08,G
-4.40E-09,G
-5.24E-09,G
-6.23E-09,G
-5.84E-09,G
1.08E-08,G
1.02E-08,G
1.77E-09,G
9.07E-10,G
1.78E-08,G
1.70E-08,G
-5.85E-09,G
-5.72E-09,G
1.08E-08,G
1.04E-08,G
1.87E-08,G
2.30E-09,G
