F1,F2,F3,F4,F5,F6,F7,F8,label
-2.85E-10,1,-0.023346774,1.95E-11,1.52E-10,2.22E-10,3.08E-10,5.32E-10,T
2.88E-09,1,0.235925298,-6.88E-12,1.52E-10,1.95E-10,3.34E-10,5.05E-10,T
-9.89E-11,1,-0.00810174,1.79E-11,1.52E-10,2.20E-10,3.09E-10,5.30E-10,T
1.28E-10,1,0.010485569,1.61E-11,1.52E-10,2.18E-10,3.11E-10,5.28E-10,T
-9.31E-09,1,-0.762661294,9.47E-11,1.52E-10,2.97E-10,2.32E-10,6.07E-10,T
2.02E-10,1,0.016547538,1.54E-11,1.52E-10,2.17E-10,3.12E-10,5.27E-10,T
-9.21E-09,1,-0.754469443,9.39E-11,1.52E-10,2.96E-10,2.33E-10,6.06E-10,T
-5.87E-09,1,-0.480861632,6.60E-11,1.52E-10,2.68E-10,2.61E-10,5.78E-10,T
-6.19E-09,1,-0.507075554,6.87E-11,1.52E-10,2.71E-10,2.58E-10,5.81E-10,T
-1.24E-08,1,-1.015789479,1.20E-10,1.52E-10,3.23E-10,2.07E-10,6.33E-10,T
-9.05E-09,1,-0.741362482,9.25E-11,1.52E-10,2.95E-10,2.35E-10,6.05E-10,T
-1.29E-08,1,-1.056748732,1.25E-10,1.52E-10,3.27E-10,2.03E-10,6.37E-10,T
3.55E-10,1,0.02908107,1.42E-11,1.52E-10,2.16E-10,3.13E-10,5.26E-10,T
-2.14E-10,1,-0.01753056,1.89E-11,1.52E-10,2.21E-10,3.08E-10,5.31E-10,T
3.33E-09,1,0.272788626,-1.06E-11,1.52E-10,1.91E-10,3.38E-10,5.01E-10,T
-3.45E-09,1,-0.282618847,4.59E-11,1.52E-10,2.48E-10,2.81E-10,5.58E-10,T
-4.27E-10,1,-0.034979202,2.07E-11,1.52E-10,2.23E-10,3.06E-10,5.33E-10,T
-6.78E-10,1,-0.055540747,2.28E-11,1.52E-10,2.25E-10,3.04E-10,5.35E-10,T
-4.68E-10,1,-0.038337861,2.10E-11,1.52E-10,2.23E-10,3.06E-10,5.33E-10,T
